,Title,Date,URL
0,콕핏 뜯으면 항력 운지함?,2023.10.18,https://arca.live/b/gaijin/89032704?near=2023-10-18T00%3A00&tz=%2B0900
1,이번 썬더 방송 정규임?,2023.10.18,https://arca.live/b/gaijin/89032607?near=2023-10-18T00%3A00&tz=%2B0900
2,그냥 나올 장비 수가 적어서 데브 없는거같은데,2023.10.18,https://arca.live/b/gaijin/89032602?near=2023-10-18T00%3A00&tz=%2B0900
3,amx 탄약고만 터져도 슬픈데 연료통은 왜 터지는거야,2023.10.18,https://arca.live/b/gaijin/89032583?near=2023-10-18T00%3A00&tz=%2B0900
4,이번 부랄 패치 뭘 기준으로 보는 거임?,2023.10.18,https://arca.live/b/gaijin/89032522?near=2023-10-18T00%3A00&tz=%2B0900
5,모두의 관심 밖이지만 혼자 신난놈,2023.10.18,https://arca.live/b/gaijin/89032436?near=2023-10-18T00%3A00&tz=%2B0900
6,vrcc vs 골16식,2023.10.18,https://arca.live/b/gaijin/89032430?near=2023-10-18T00%3A00&tz=%2B0900
7,데브 없는거 보면 아직도 눈치 못챘냐,2023.10.18,https://arca.live/b/gaijin/89032427?near=2023-10-18T00%3A00&tz=%2B0900
8,얘들 방송하는데 정규방송이냐,2023.10.18,https://arca.live/b/gaijin/89032394?near=2023-10-18T00%3A00&tz=%2B0900
9,셔먼들 너무 고평가 하는거 아니냐?,2023.10.18,https://arca.live/b/gaijin/89032390?near=2023-10-18T00%3A00&tz=%2B0900
10,아직 1시...2시 단은 살아있다..,2023.10.18,https://arca.live/b/gaijin/89032377?near=2023-10-18T00%3A00&tz=%2B0900
11,아 씨발 모기 좆같너ㅗ,2023.10.18,https://arca.live/b/gaijin/89032332?near=2023-10-18T00%3A00&tz=%2B0900
12,재생목록에 뭐 추가된 영상이라도 없음?,2023.10.18,https://arca.live/b/gaijin/89032314?near=2023-10-18T00%3A00&tz=%2B0900
13,점보는 다른게 문제가 아니라,2023.10.18,https://arca.live/b/gaijin/89032232?near=2023-10-18T00%3A00&tz=%2B0900
14,아니 통삼사 때이구 대가리 무적아님?,2023.10.18,https://arca.live/b/gaijin/89032230?near=2023-10-18T00%3A00&tz=%2B0900
15,레오 d형 장갑재가,2023.10.18,https://arca.live/b/gaijin/89032202?near=2023-10-18T00%3A00&tz=%2B0900
16,짤녀 이쁘면 자러감,2023.10.18,https://arca.live/b/gaijin/89032154?near=2023-10-18T00%3A00&tz=%2B0900
17,챈에 있는 고인물들아 이상한거 타지좀 말고 소련 10점대 좀 타줘,2023.10.18,https://arca.live/b/gaijin/89032118?near=2023-10-18T00%3A00&tz=%2B0900
18,데브....없다...?,2023.10.18,https://arca.live/b/gaijin/89032102?near=2023-10-18T00%3A00&tz=%2B0900
19,12시에도 없구나,2023.10.18,https://arca.live/b/gaijin/89032059?near=2023-10-18T00%3A00&tz=%2B0900
20,이제 0시니까 데브 내놔,2023.10.18,https://arca.live/b/gaijin/89032049?near=2023-10-18T00%3A00&tz=%2B0900
21,D겐 11.3 개꿀아니노?,2023.10.18,https://arca.live/b/gaijin/89031982?near=2023-10-18T00%3A00&tz=%2B0900
22,아 진짜,2023.10.18,https://arca.live/b/gaijin/89031967?near=2023-10-18T00%3A00&tz=%2B0900
