,Title,Date,URL
7,근데 진짜 지상 보상좀,2023.10.25,/b/gaijin/89609976?before=2023-10-24T16%3A33%3A23Z
8,이스라엘 뚫어볼라 했는데,2023.10.25,/b/gaijin/89609893?before=2023-10-24T16%3A33%3A23Z
9,시발 저옵 랜더링 문제 골때리네,2023.10.25,/b/gaijin/89609794?before=2023-10-24T16%3A33%3A23Z
10,저번부터 계속 멈추는 현상 일어나는데 어떻게 해결함,2023.10.25,/b/gaijin/89609759?before=2023-10-24T16%3A33%3A23Z
11,900만년만에 보는 맵,2023.10.25,/b/gaijin/89609744?before=2023-10-24T16%3A33%3A23Z
12,울로퀄로 한다고 좋은거 아니다,2023.10.25,/b/gaijin/89609695?before=2023-10-24T16%3A33%3A23Z
13,로켓런 조치해야됨 증거있음,2023.10.25,/b/gaijin/89609452?before=2023-10-24T16%3A33%3A23Z
14,1가구 1CIWS 보급 앙망,2023.10.25,/b/gaijin/89609428?before=2023-10-24T16%3A33%3A23Z
15,와 93 진짜로 시커 좋아졌네?,2023.10.25,/b/gaijin/89609265?before=2023-10-24T16%3A33%3A23Z
16,RTB 성공했다ㅋㅋㅋㅋㅋ,2023.10.25,/b/gaijin/89609134?before=2023-10-24T16%3A33%3A23Z
17,1.7부랄 개빡세네,2023.10.25,/b/gaijin/89609106?before=2023-10-24T16%3A33%3A23Z
18,타격감 좆되네,2023.10.25,/b/gaijin/89609048?before=2023-10-24T16%3A33%3A23Z
19,이제 기지 대공은 없다고 봐야겠네,2023.10.25,/b/gaijin/89608993?before=2023-10-24T16%3A33%3A23Z
20,왜미사일락온안돼냐고,2023.10.25,/b/gaijin/89608910?before=2023-10-24T16%3A33%3A23Z
21,(틱톡/짱주의) 날탄과 이탈피,2023.10.25,/b/gaijin/89608862?before=2023-10-24T16%3A33%3A23Z
22,RTB 가능하다보냐?,2023.10.25,/b/gaijin/89608677?before=2023-10-24T16%3A33%3A23Z
23,아이시발 gta 존나웃기네,2023.10.25,/b/gaijin/89608550?before=2023-10-24T16%3A33%3A23Z
24,시발 스헌터에 탈리박았다,2023.10.25,/b/gaijin/89608531?before=2023-10-24T16%3A33%3A23Z
25,아탈피자가 직선으로 나가는게 맞음?,2023.10.25,/b/gaijin/89608375?before=2023-10-24T16%3A33%3A23Z
26,날탄 이탈피 뎀지 들어감???,2023.10.25,/b/gaijin/89608249?before=2023-10-24T16%3A33%3A23Z
27,오늘도 즐겜했다,2023.10.25,/b/gaijin/89608227?before=2023-10-24T16%3A33%3A23Z
28,수이오븜은 결국,2023.10.25,/b/gaijin/89608147?before=2023-10-24T16%3A33%3A23Z
29,톰캣 항전 구리다는 게 D캣도 포함임?,2023.10.25,/b/gaijin/89608072?before=2023-10-24T16%3A33%3A23Z
30,멜캅 그렇게 까지 병신 아닐지도?,2023.10.25,/b/gaijin/89608071?before=2023-10-24T16%3A33%3A23Z
31,제발 이번패치에 벽력5 새것좀,2023.10.25,/b/gaijin/89608047?before=2023-10-24T16%3A33%3A23Z
32,이탈피 저대로 나오면 푸마랑 87식 붕붕카 부랄 올라간 거 납득함,2023.10.25,/b/gaijin/89608031?before=2023-10-24T16%3A33%3A23Z
33,우회 성공~,2023.10.25,/b/gaijin/89607864?before=2023-10-24T16%3A33%3A23Z
34,정보) 뇌비우고 딸칵하면 워썬더 더 잘됨,2023.10.25,/b/gaijin/89607848?before=2023-10-24T16%3A33%3A23Z
35,공중전 보상은 그래도 참을만한데,2023.10.25,/b/gaijin/89607792?before=2023-10-24T16%3A33%3A23Z
36,장비 보통 얼마만에 뚫음?,2023.10.25,/b/gaijin/89607764?before=2023-10-24T16%3A33%3A23Z
37,진짜 무장량 제한 연료량도 계산해야 함,2023.10.25,/b/gaijin/89607737?before=2023-10-24T16%3A33%3A23Z
38,??? : 지상 장비는 캐스 발사대,2023.10.25,/b/gaijin/89607629?before=2023-10-24T16%3A33%3A23Z
39,근데 jh7A 이거 오피셜임?,2023.10.25,/b/gaijin/89607555?before=2023-10-24T16%3A33%3A23Z
40,근데 우리나라 포탄같은거는 개잘만듬,2023.10.25,/b/gaijin/89607272?before=2023-10-24T16%3A33%3A23Z
41,JH-7A도 나오는데 같이 굴릴만한 탑경전이 없네,2023.10.25,/b/gaijin/89607183?before=2023-10-24T16%3A33%3A23Z
42,챈 1호냐,2023.10.25,/b/gaijin/89607145?before=2023-10-24T16%3A33%3A23Z
43,스헌터 보통 언제 연료통버림?,2023.10.25,/b/gaijin/89607001?before=2023-10-24T16%3A33%3A23Z
44,3.3독일 전투기 추천좀,2023.10.25,/b/gaijin/89606756?before=2023-10-24T16%3A33%3A23Z
0,할인권 떴냐?ㅋㅋㅋㅋㅋㅋ,2023.10.25,/b/gaijin/89613389?before=2023-10-24T18%3A00%3A17Z
1,와이번에,2023.10.25,/b/gaijin/89613385?before=2023-10-24T18%3A00%3A17Z
2,아리에테 장갑이 얇구나 그럼 기동은 좋겠네,2023.10.25,/b/gaijin/89613369?before=2023-10-24T18%3A00%3A17Z
3,74식 기관총 모델링,2023.10.25,/b/gaijin/89613347?before=2023-10-24T18%3A00%3A17Z
4,씨발 변기에 버즈빠뜨렸다,2023.10.25,/b/gaijin/89613336?before=2023-10-24T18%3A00%3A17Z
5,지금 보니까 옵젝이 부계파서 왔을 때,2023.10.25,/b/gaijin/89613271?before=2023-10-24T18%3A00%3A17Z
6,미스트랄 앞에 이거 뭐냐,2023.10.25,/b/gaijin/89613160?before=2023-10-24T18%3A00%3A17Z
7,푸마 특징,2023.10.25,/b/gaijin/89612942?before=2023-10-24T18%3A00%3A17Z
8,데브 m109g 애들 뭐냐,2023.10.25,/b/gaijin/89612867?before=2023-10-24T18%3A00%3A17Z
9,아리에테 타면서 피격은 염두해두지 말아야 함,2023.10.25,/b/gaijin/89612682?before=2023-10-24T18%3A00%3A17Z
10,15식 나오면 좆사기일거 같은데,2023.10.25,/b/gaijin/89612416?before=2023-10-24T18%3A00%3A17Z
11,지상전 1시간 이상했다가 병날뻔했네,2023.10.25,/b/gaijin/89612393?before=2023-10-24T18%3A00%3A17Z
12,이탈리아 해보고 싶어서 시작했는데,2023.10.25,/b/gaijin/89612359?before=2023-10-24T18%3A00%3A17Z
13,775 이새낀 볼때마다 웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2023.10.25,/b/gaijin/89612340?before=2023-10-24T18%3A00%3A17Z
14,똥파유저들 필독!!!!!!!!!!!!!!!!!!!!! 생존성 늘리는팁!!!!!!!!!!!!!!!!,2023.10.25,/b/gaijin/89612326?before=2023-10-24T18%3A00%3A17Z
15,이탈피 이펙트 바꿀 수 있나보네,2023.10.25,/b/gaijin/89612196?before=2023-10-24T18%3A00%3A17Z
16,6.7 조심해라,2023.10.25,/b/gaijin/89612173?before=2023-10-24T18%3A00%3A17Z
17,"아마기,카가급도 장속 22초려나",2023.10.25,/b/gaijin/89612111?before=2023-10-24T18%3A00%3A17Z
18,4070 4.7,2023.10.25,/b/gaijin/89612069?before=2023-10-24T18%3A00%3A17Z
19,ㅋ,2023.10.25,/b/gaijin/89612064?before=2023-10-24T18%3A00%3A17Z
20,미 독 소 영 공중 다뚫어간다 ㅁㅌㅊ?,2023.10.25,/b/gaijin/89612018?before=2023-10-24T18%3A00%3A17Z
21,사실 피치는 필요없는거 아닐까,2023.10.25,/b/gaijin/89611966?before=2023-10-24T18%3A00%3A17Z
22,아드바크 CCIP 추가됐네,2023.10.25,/b/gaijin/89611936?before=2023-10-24T18%3A00%3A17Z
23,전투 한창일 때 적진 스폰지점으로 가서 따먹는건,2023.10.25,/b/gaijin/89611828?before=2023-10-24T18%3A00%3A17Z
24,플미없으니 이건 좀 꼴받네,2023.10.25,/b/gaijin/89611748?before=2023-10-24T18%3A00%3A17Z
25,오사이투 장속 바뀌었네,2023.10.25,/b/gaijin/89611746?before=2023-10-24T18%3A00%3A17Z
26,이새끼들한테 원하는거,2023.10.25,/b/gaijin/89611624?before=2023-10-24T18%3A00%3A17Z
27,갑제로 아직도 ㅈㄴ게 쓸만하다,2023.10.25,/b/gaijin/89611535?before=2023-10-24T18%3A00%3A17Z
28,아리에테 차체 정면은 단 5cm 장갑으로 이루어져 있음,2023.10.25,/b/gaijin/89611480?before=2023-10-24T18%3A00%3A17Z
29,곱추 기만체 추가면,2023.10.25,/b/gaijin/89611368?before=2023-10-24T18%3A00%3A17Z
30,맹만튀는 이제 TGP만 달아주면,2023.10.25,/b/gaijin/89611222?before=2023-10-24T18%3A00%3A17Z
31,아리에테 이거 뭐임?,2023.10.25,/b/gaijin/89611207?before=2023-10-24T18%3A00%3A17Z
32,순수지상전 모드 만들어주면 안톤 찬양한다,2023.10.25,/b/gaijin/89611156?before=2023-10-24T18%3A00%3A17Z
33,진짜 전방베이스는 착륙할 생각을 하면 안되겠다,2023.10.25,/b/gaijin/89611111?before=2023-10-24T18%3A00%3A17Z
34,데리야끼 인게임 할인 할때 된건가?,2023.10.25,/b/gaijin/89610993?before=2023-10-24T18%3A00%3A17Z
35,인트루더 10.3 된 시점에서 공중리얼 탈만함?,2023.10.25,/b/gaijin/89610896?before=2023-10-24T18%3A00%3A17Z
36,대구경 기만체 쓰면 사와엠 기만 가능?,2023.10.25,/b/gaijin/89610878?before=2023-10-24T18%3A00%3A17Z
37,낚시아님)플스 스토어 워썬더 할인 시작함,2023.10.25,/b/gaijin/89610736?before=2023-10-24T18%3A00%3A17Z
38,한국 트리나올때 까지 숨참는다,2023.10.25,/b/gaijin/89610710?before=2023-10-24T18%3A00%3A17Z
39,영국 뚫다 지루해서 제로센 타보려는데,2023.10.25,/b/gaijin/89610675?before=2023-10-24T18%3A00%3A17Z
40,일드 보는데 각본 썬붕이가 썼노ㅋㅋㅋㅋ,2023.10.25,/b/gaijin/89610529?before=2023-10-24T18%3A00%3A17Z
41,좆기 컷,2023.10.25,/b/gaijin/89610513?before=2023-10-24T18%3A00%3A17Z
